miRNA,RandomForestA,RandomForestB,RandomForestC,rpartA,rpartB,rpartC,LASSOA,LASSOB,LASSOC,XGBoostA,XGBoostB,XGBoostC
let-7d-3p,1,,1,,,,1,1,,1,1,
miR-18b-5p,1,,,,,,,1,,1,,
miR-29b-3p,,,,,,,,1,,,,
miR-33b-3p,,,1,,,,,,,,,
miR-34a-5p,,,1,,,1,1,,1,,,
miR-125a-5p,,,,,,,,,,1,,
miR-150-5p,,,1,,,,,,,,,
miR-151a-3p,,,,1,,,,,,,1,
miR-187-5p,1,1,1,1,1,,1,1,,1,1,1
miR-300,,1,,,,,,1,,,,
miR-324-3p,,,,,,,,,1,,,
miR-326,,,1,,,,,,1,,,1
miR-376c-3p,,,,,,,1,,1,,,
miR-423-3p,,,,,1,,,,,,,
miR-451a,,1,1,,,,1,,1,,1,1
miR-484,,,,,,,1,1,1,,,
miR-494,,,,,,,1,1,1,,1,
miR-548am-5p,,,,,,,1,1,1,,,
miR-572,1,1,,,,,1,1,,1,1,
miR-584-5p,,,1,,1,,,,1,,1,
miR-636,1,1,1,1,1,1,1,1,1,1,1,1
miR-652-3p,1,1,1,,,,,,,,,
miR-671-3p,,,,,,,,,1,,,
miR-671-5p,1,1,1,,,,1,1,1,,,
miR-675-3p,,1,,,1,,,,,,,
miR-933,1,,1,,,,,,,,,
miR-1237-3p,,,1,,,,,,1,,,
miR-1246,,,,1,1,,,,,,,
miR-1306-3p,,,1,,1,,,1,1,,,
miR-3613-3p,1,1,1,,,,1,,,1,1,1
miR-4707-5p,1,1,1,,,,1,1,1,1,1,1